ID_ROK;ID_SUBKATEGORIA;ID_KATEGORIA;Druh kriminality;Zistené;Objasnené; t.j. %;Spôsob. škoda;Dodatoč. objasnené;Vplyv alkoholu;Vplyv drog;Maloletý páchateľ;Mladistvý páchateľ;Celkom osôb;Počet malolet.;Počet mladist.;Vplyv alkoholu;Vplyv drog
21;33;5;ohroz. pod vplyvom návyk.látok          ; 4 586; 4 520;  99;  639;  51; 4 512;  56;  ;  35; 4 488;  ;  33; 4 436;  50
21;34;5;t.č. vojenské a proti republ.           ;  11;  6;  55;  2;  2;  3;  ;  ;  ;  8;  ;  ;  3;  
21;;6;EKONOMICKÁ  KRIMINALITA                 ; 13 515; 6 784;  50; 284 000; 1 402;  51;  3;  48;  113; 8 085;  51;  116;  49;  3
21;35;6;skrátenie dane                          ; 5 392; 3 851;  71; 122 797;  598;  6;  ;  ;  4; 4 173;  ;  3;  4;  
21;36;6;krádež                                  ;  16;  13;  81;  190;  2;  ;  ;  ;  ;  17;  ;  ;  ;  
21;37;6;ochrana meny                            ; 1 160;  45;  4;  167;  7;  1;  1;  1;  4;  56;  1;  6;  1;  1
21;38;6;ohroz.devízového hospod.                ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
21;39;6;korupcia                                ;  151;  79;  52;  ;  16;  1;  ;  ;  ;  170;  ;  ;  1;  
21;40;6;sprenevera                              ;  560;  385;  69; 8 404;  86;  3;  ;  ;  3;  448;  ;  3;  3;  
21;41;6;podvod                                  ; 2 157;  843;  39; 69 346;  355;  3;  1;  1;  10; 1 176;  1;  11;  3;  1
21;42;6;poruš.autorských práv                   ;  46;  10;  22;  181;  6;  ;  ;  ;  ;  16;  ;  ;  ;  
20;;1;NÁSILNÁ  KRIMINALITA                    ; 6 132; 4 674;  76; 3 533;  320; 1 861;  30;  88;  292; 5 080;  114;  316; 1 849;  26
20;1;1;vraždy                                  ;  80;  39;  49;  ;  8;  20;  1;  ;  2;  55;  ;  2;  21;  1
20;2;1;lúpeže                                  ;  469;  315;  67;  524;  32;  58;  5;  20;  77;  448;  28;  101;  69;  4
20;3;1;násilie na verej.činit.                 ;  195;  165;  85;  ;  5;  92;  ;  ;  6;  173;  ;  6;  92;  
20;4;1;      - z toho na policajtovi           ;  159;  136;  86;  ;  1;  78;  ;  ;  6;  138;  ;  6;  77;  
20;5;1;úmyslené ublíženie na zdraví            ; 1 618; 1 140;  70;  24;  154;  383;  5;  28;  116; 1 441;  32;  127;  413;  5
20;6;1;s rasovým mot.,extrémizmus              ;  145;  45;  31;  ;  3;  11;  ;  ;  1;  39;  ;  1;  11;  
20;7;1;organizovaný zločin                     ;  62;  21;  34; 22 130;  23;  ;  ;  ;  3;  209;  ;  3;  ;  
